Enlem,Boylam,Cluster,Restoran Çeşidi
40.9882664,29.0267312,Orta Halli Restoran,Pub & Bistro & Kokteyl Bar
40.9868727,29.0275439,Orta Halli Restoran,Modern Pub & Bistro
40.9989172,29.0972357,Orta Halli Restoran,Kebap
41.0041616,29.0714556,Orta Halli Restoran,Modern Pub & Bistro
40.9774068,29.040992,Orta Halli Restoran,Fine Dining (D.Mutf-Şar.Evi)
41.0262534,29.1267048,Orta Halli Restoran,Modern Pub & Bistro
40.9569801,29.0808007,Zengin Restoran,Modern Pub & Bistro
40.9659792,29.0711118,Orta Halli Restoran,Modern Pub & Bistro
41.0088673,29.0363931,Orta Halli Restoran,Kebap
40.985171,29.0981252,Orta Halli Restoran,Kebap
41.076341,29.0182846,Zengin Restoran,Askeri Birlik-Sosyal Tesis
40.9867047,29.0266333,Orta Halli Restoran,Modern Pub & Bistro
40.9822099,29.0229742,Orta Halli Restoran,Kebap
40.974299,29.0550845,Orta Halli Restoran,Modern Pub & Bistro
40.9863782,29.0264087,Orta Halli Restoran,Modern Pub & Bistro
40.989946,29.117554,Orta Halli Restoran,Balık
40.9595843,29.0732305,Zengin Restoran,Kebap
40.9770361,29.0409246,Zengin Restoran,Kebap
40.9687501,29.0323955,Orta Halli Restoran,Askeri Birlik-Sosyal Tesis
40.9691806,29.0373689,Orta Halli Restoran,Askeri Birlik-Sosyal Tesis
40.9880871,29.0269302,Orta Halli Restoran,Pub & Bistro & Kokteyl Bar
40.9890925,29.0218696,Orta Halli Restoran,Modern Pub & Bistro
40.9898381,29.0277534,Orta Halli Restoran,Geleneksel Meyhane
40.9710212,29.0391451,Orta Halli Restoran,Modern Pub & Bistro
40.9872744,29.0275117,Orta Halli Restoran,Modern Pub & Bistro
40.9891099,29.0281668,Orta Halli Restoran,Geleneksel Meyhane
40.960283,29.083699,Orta Halli Restoran,Pub & Bistro & Kokteyl Bar
40.9796676,29.0445773,Orta Halli Restoran,Balık
41.0019395,29.0550198,Orta Halli Restoran,Modern Pub & Bistro
40.9882272,29.0239289,Orta Halli Restoran,Modern Pub & Bistro
40.9568313,29.080295,Orta Halli Restoran,Modern Pub & Bistro
40.9893869,29.140792,Orta Halli Restoran,Modern Pub & Bistro
40.9814825,29.0373743,Orta Halli Restoran,Askeri Birlik-Sosyal Tesis
40.985515,29.099574,Orta Halli Restoran,Modern Pub & Bistro
40.9889965,29.0243143,Orta Halli Restoran,Geleneksel Meyhane
40.9537243,29.0899829,Orta Halli Restoran,Yeni Nesil Meyhane
40.9844189,29.0997786,Orta Halli Restoran,Geleneksel Meyhane
40.9868419,29.0254767,Orta Halli Restoran,Modern Pub & Bistro
40.9912299,29.1066403,Orta Halli Restoran,Kebap
40.9963688,29.0285632,Orta Halli Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.964194,29.0708777,Zengin Restoran,Kebap
40.9620236,29.0732401,Zengin Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.9593774,29.0852952,Zengin Restoran,Modern Pub & Bistro
40.963085,29.0758935,Orta Halli Restoran,Modern Pub & Bistro
41.00060556,29.10197653,Zengin Restoran,Kebap
40.9798668,29.0245161,Zengin Restoran,Tekne-Event Hall-Catering
40.9893261,29.0299026,Orta Halli Restoran,Modern Pub & Bistro
40.9871887,29.0316497,Orta Halli Restoran,Modern Pub & Bistro
40.9915128,29.1045612,Zengin Restoran,Kebap
40.95885,29.082108,Orta Halli Restoran,Modern Pub & Bistro
40.9921069,29.1044926,Orta Halli Restoran,Yeni Nesil Meyhane
40.9980833,29.0997517,Orta Halli Restoran,Modern Pub & Bistro
40.9874686,29.02787,Orta Halli Restoran,Modern Pub & Bistro
40.9943106,29.1240121,Orta Halli Restoran,Modern Pub & Bistro
40.9807104,29.0256834,Zengin Restoran,Modern Pub & Bistro
40.98724398,29.02679712,Orta Halli Restoran,Gece Kulübü
40.9897056,29.0283901,Zengin Restoran,Gece Kulübü
40.9572527,29.0805333,Zengin Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.9712209,29.0385943,Orta Halli Restoran,Modern Pub & Bistro
40.9402108,29.1118211,Zengin Restoran,Balık
40.9703382,29.0384233,Orta Halli Restoran,Modern Pub & Bistro
40.9637705,29.0769118,Zengin Restoran,Balık
40.9907857,29.1177003,Zengin Restoran,Kebap
40.9881348,29.027911,Orta Halli Restoran,Geleneksel Meyhane
40.9856907,29.0274654,Zengin Restoran,Geleneksel Meyhane
41.0022454,29.0707334,Zengin Restoran,Modern Pub & Bistro
41.0328672,29.035526,Orta Halli Restoran,Kebap
40.987799,29.1241098,Orta Halli Restoran,Kebap
41.0037284,29.0708798,Orta Halli Restoran,Modern Pub & Bistro
40.9876433,29.1208229,Zengin Restoran,Balık
40.9871309,29.0854914,Zengin Restoran,Yeni Nesil Meyhane
40.9638281,29.0737649,Orta Halli Restoran,Modern Pub & Bistro
40.963231,29.0765351,Orta Halli Restoran,Geleneksel Meyhane
40.977909,29.0408458,Orta Halli Restoran,Balık
40.9566024,29.0881028,Orta Halli Restoran,Fine Dining (D.Mutf-Şar.Evi)
41.0084573,29.0390539,Orta Halli Restoran,Geleneksel Meyhane
40.97580232,29.05192282,Orta Halli Restoran,Modern Pub & Bistro
41.0504937,29.0523507,Zengin Restoran,Balık
41.0208292,29.0398489,Orta Halli Restoran,Modern Pub & Bistro
41.0010181,29.0541909,Orta Halli Restoran,Modern Pub & Bistro
41.0015766,29.106657,Orta Halli Restoran,Modern Pub & Bistro
40.9863334,29.0266749,Orta Halli Restoran,Geleneksel Meyhane
40.9866119,29.0265598,Orta Halli Restoran,Modern Pub & Bistro
40.98526714,29.10807587,Zengin Restoran,Kebap
41.0330047,29.0349006,Orta Halli Restoran,Tekne-Event Hall-Catering
40.9647743,29.0661925,Orta Halli Restoran,Balık
41.0721338,29.0581572,Orta Halli Restoran,Fine Dining (D.Mutf-Şar.Evi)
41.0443534,29.0447063,Orta Halli Restoran,Geleneksel Meyhane
40.98022619,29.10323081,Orta Halli Restoran,Kebap
40.9887349,29.0328459,Orta Halli Restoran,Geleneksel Meyhane
40.9852023,29.0984175,Orta Halli Restoran,Kebap
41.0121824,29.1794665,Zengin Restoran,Balık
40.999734,29.038539,Orta Halli Restoran,Modern Pub & Bistro
40.9640227,29.0654647,Orta Halli Restoran,Yeni Nesil Meyhane
40.991022,29.1414274,Zengin Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.9858434,29.0987935,Orta Halli Restoran,Modern Pub & Bistro
41.044418,29.044411,Zengin Restoran,Kebap
40.9599874,29.0834645,Orta Halli Restoran,Kebap
40.9893924,29.027037,Orta Halli Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.95342,29.093872,Zengin Restoran,Balık
40.990631,29.0307813,Orta Halli Restoran,Geleneksel Meyhane
40.98820602,29.1247,Orta Halli Restoran,Kebap
40.959392,29.080956,Orta Halli Restoran,Modern Pub & Bistro
40.959392,29.080956,Orta Halli Restoran,Modern Pub & Bistro
41.0008793,29.0541229,Orta Halli Restoran,Modern Pub & Bistro
40.967017,29.065785,Zengin Restoran,Kebap
40.9809299,29.0549959,Orta Halli Restoran,Kebap
41.0366571,29.0294973,Zengin Restoran,Balık
40.9541611,29.0949562,Zengin Restoran,Geleneksel Meyhane
40.9903027,29.0278792,Orta Halli Restoran,Tekne-Event Hall-Catering
41.011345,29.0393854,Zengin Restoran,Kebap
41.006923,29.033276,Orta Halli Restoran,Balık
40.956952,29.080761,Zengin Restoran,Balık
40.9979511,29.1000891,Orta Halli Restoran,Modern Pub & Bistro
40.956931,29.079165,Orta Halli Restoran,Modern Pub & Bistro
40.9573222,29.0868304,Zengin Restoran,Modern Pub & Bistro
40.9671712,29.0678094,Orta Halli Restoran,Modern Pub & Bistro
41.0007508,29.0544653,Orta Halli Restoran,Gece Kulübü
40.989689,29.024694,Orta Halli Restoran,Balık
40.9938857,29.1247608,Orta Halli Restoran,Modern Pub & Bistro
40.9872511,29.1115314,Orta Halli Restoran,Yeni Nesil Meyhane
40.9979342,29.0997846,Orta Halli Restoran,Modern Pub & Bistro
40.9995033,29.0389986,Orta Halli Restoran,Modern Pub & Bistro
40.9747164,29.0805561,Orta Halli Restoran,Kebap
40.9721826,29.074078,Orta Halli Restoran,Kebap
40.9887948,29.0245451,Orta Halli Restoran,Modern Pub & Bistro
41.0011658,29.054697,Orta Halli Restoran,Modern Pub & Bistro
40.9862781,29.0971064,Orta Halli Restoran,Balık
40.998046,29.0997962,Orta Halli Restoran,Modern Pub & Bistro
40.9877369,29.0249271,Orta Halli Restoran,Geleneksel Meyhane
41.0110511,29.0400924,Orta Halli Restoran,Geleneksel Meyhane
40.980526,29.0241054,Zengin Restoran,Balık
40.9677434,29.0659078,Orta Halli Restoran,Modern Pub & Bistro
40.9625062,29.0763625,Orta Halli Restoran,Modern Pub & Bistro
40.9529548,29.0948797,Zengin Restoran,Kebap
40.9940208,29.1225213,Orta Halli Restoran,Modern Pub & Bistro
40.9993987,29.1011158,Orta Halli Restoran,Kebap
40.9898532,29.0301897,Zengin Restoran,Geleneksel Meyhane
40.985789,29.025093,Orta Halli Restoran,Geleneksel Meyhane
40.9896746,29.0228178,Orta Halli Restoran,Tekne-Event Hall-Catering
41.036091,29.045432,Orta Halli Restoran,Askeri Birlik-Sosyal Tesis
41.0033468,29.0715215,Orta Halli Restoran,Modern Pub & Bistro
40.9595545,29.0729378,Zengin Restoran,Kebap
41.00101395,29.05460922,Orta Halli Restoran,Modern Pub & Bistro
40.987198,29.0256804,Orta Halli Restoran,Modern Pub & Bistro
40.9877773,29.0279797,Orta Halli Restoran,Gece Kulübü
40.98690708,29.02546909,Orta Halli Restoran,Modern Pub & Bistro
40.9889225,29.1258836,Orta Halli Restoran,Balık
41.0092079,29.0368035,Orta Halli Restoran,Pub & Bistro & Kokteyl Bar
41.0102423,29.0408989,Orta Halli Restoran,Modern Pub & Bistro
40.9874181,29.0260432,Orta Halli Restoran,Modern Pub & Bistro
41.0447682,29.0451754,Orta Halli Restoran,Balık
40.9861161,29.026541,Orta Halli Restoran,Modern Pub & Bistro
40.9542974,29.0943968,Zengin Restoran,Geleneksel Meyhane
40.9899222,29.0272294,Orta Halli Restoran,Modern Pub & Bistro
40.9677057,29.0680496,Orta Halli Restoran,Modern Pub & Bistro
40.9533162,29.0940484,Zengin Restoran,Balık
40.964843,29.061672,Zengin Restoran,Yeni Nesil Meyhane
41.0823229,29.0674705,Orta Halli Restoran,Balık
40.9714023,29.0411054,Zengin Restoran,Askeri Birlik-Sosyal Tesis
40.980752,29.0510745,Orta Halli Restoran,Kebap
40.98845806,29.02504575,Orta Halli Restoran,Modern Pub & Bistro
40.9875507,29.026243,Orta Halli Restoran,Modern Pub & Bistro
41.0095896,29.0404491,Orta Halli Restoran,Modern Pub & Bistro
40.96405672,29.06554844,Orta Halli Restoran,Yeni Nesil Meyhane
40.9899812,29.0224626,Orta Halli Restoran,Modern Pub & Bistro
40.9894593,29.0282307,Orta Halli Restoran,Geleneksel Meyhane
41.04475926,29.04485967,Orta Halli Restoran,Yeni Nesil Meyhane
40.9854172,29.0262608,Orta Halli Restoran,Modern Pub & Bistro
40.9886031,29.0238545,Orta Halli Restoran,Gece Kulübü
40.981549,29.022044,Orta Halli Restoran,Modern Pub & Bistro
40.9799229,29.0857738,Orta Halli Restoran,Modern Pub & Bistro
40.9648525,29.0659195,Orta Halli Restoran,Modern Pub & Bistro
40.98672137,29.02751846,Orta Halli Restoran,Modern Pub & Bistro
40.986788,29.026647,Orta Halli Restoran,Modern Pub & Bistro
40.99429788,29.11052573,Orta Halli Restoran,Modern Pub & Bistro
40.989454,29.027688,Orta Halli Restoran,Gece Kulübü
41.010915,29.0403627,Orta Halli Restoran,Geleneksel Meyhane
40.9925561,29.1211619,Orta Halli Restoran,Geleneksel Meyhane
40.9888887,29.024647,Orta Halli Restoran,Modern Pub & Bistro
40.9888887,29.024647,Zengin Restoran,Yeni Nesil Meyhane
40.9891221,29.0296956,Orta Halli Restoran,Geleneksel Meyhane
40.9901945,29.0276155,Orta Halli Restoran,Modern Pub & Bistro
40.9675086,29.0678569,Orta Halli Restoran,Modern Pub & Bistro
40.9891262,29.0219222,Orta Halli Restoran,Modern Pub & Bistro
40.9881728,29.0238288,Orta Halli Restoran,Modern Pub & Bistro
40.9901798,29.0247505,Orta Halli Restoran,Balık
40.9902406,29.0264639,Orta Halli Restoran,Modern Pub & Bistro
41.0109763,29.0401884,Orta Halli Restoran,Geleneksel Meyhane
40.9866243,29.0962375,Orta Halli Restoran,Kebap
40.9715883,29.0518182,Orta Halli Restoran,Kebap
40.9890331,29.0280011,Orta Halli Restoran,Modern Pub & Bistro
40.9814638,29.0230983,Orta Halli Restoran,Modern Pub & Bistro
40.97392,29.046129,Orta Halli Restoran,Modern Pub & Bistro
40.9889903,29.024002,Orta Halli Restoran,Geleneksel Meyhane
40.9876552,29.0279362,Orta Halli Restoran,Modern Pub & Bistro
41.0104011,29.0408698,Orta Halli Restoran,Geleneksel Meyhane
40.9604364,29.083382,Orta Halli Restoran,Pub & Bistro & Kokteyl Bar
40.998442,29.1000665,Orta Halli Restoran,Modern Pub & Bistro
40.9898979,29.027861,Orta Halli Restoran,Geleneksel Meyhane
40.9852811,29.0263714,Orta Halli Restoran,Modern Pub & Bistro
40.989027,29.022626,Orta Halli Restoran,Gece Kulübü
40.9855365,29.0254931,Orta Halli Restoran,Pub & Bistro & Kokteyl Bar
40.9903312,29.0270705,Orta Halli Restoran,Modern Pub & Bistro
40.9845543,29.0263054,Orta Halli Restoran,Modern Pub & Bistro
40.9764156,29.0415147,Orta Halli Restoran,Modern Pub & Bistro
40.9874534,29.0265305,Orta Halli Restoran,Modern Pub & Bistro
40.96932696,29.06414464,Orta Halli Restoran,Modern Pub & Bistro
41.0113889,29.0394444,Orta Halli Restoran,Geleneksel Meyhane
40.96289,29.074306,Orta Halli Restoran,Modern Pub & Bistro
40.9681655,29.0854863,Zengin Restoran,Balık
40.9786533,29.0729953,Zengin Restoran,Kebap
40.9646943,29.0660118,Zengin Restoran,Geleneksel Meyhane
40.9998617,29.0985879,Orta Halli Restoran,Geleneksel Meyhane
40.9899547,29.0278206,Orta Halli Restoran,Geleneksel Meyhane
40.98005298,29.08589112,Zengin Restoran,Balık
41.0446696,29.0447546,Orta Halli Restoran,Balık
40.9901552,29.0228296,Orta Halli Restoran,Modern Pub & Bistro
40.9887696,29.0245891,Orta Halli Restoran,Modern Pub & Bistro
40.9707712,29.067516,Orta Halli Restoran,Pub & Bistro & Kokteyl Bar
40.9895737,29.0261659,Orta Halli Restoran,Modern Pub & Bistro
40.9897907,29.0247929,Orta Halli Restoran,Geleneksel Meyhane
40.9828874,29.0651014,Orta Halli Restoran,Balık
40.9897796,29.0270202,Orta Halli Restoran,Modern Pub & Bistro
40.9900059,29.027728,Orta Halli Restoran,Modern Pub & Bistro
40.9937117,29.1230242,Orta Halli Restoran,Modern Pub & Bistro
40.9878066,29.0241656,Orta Halli Restoran,Modern Pub & Bistro
40.9876998,29.0257725,Orta Halli Restoran,Modern Pub & Bistro
40.9894445,29.0257401,Orta Halli Restoran,Modern Pub & Bistro
40.98766,29.0277271,Orta Halli Restoran,Modern Pub & Bistro
40.9888205,29.0245137,Orta Halli Restoran,Geleneksel Meyhane
40.9900172,29.0271549,Orta Halli Restoran,Modern Pub & Bistro
40.9883202,29.0249017,Orta Halli Restoran,Modern Pub & Bistro
40.9894368,29.0283431,Zengin Restoran,Geleneksel Meyhane
40.9647983,29.0587382,Orta Halli Restoran,Modern Pub & Bistro
40.9926377,29.1207998,Orta Halli Restoran,Geleneksel Meyhane
41.0081443,29.0387535,Orta Halli Restoran,Modern Pub & Bistro
40.9985644,29.0979852,Orta Halli Restoran,Modern Pub & Bistro
40.9828693,29.0327871,Orta Halli Restoran,Pub & Bistro & Kokteyl Bar
40.988348,29.02797,Orta Halli Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.9881151,29.0236846,Orta Halli Restoran,Modern Pub & Bistro
40.974562,29.0534358,Orta Halli Restoran,Modern Pub & Bistro
40.952734,29.096458,Zengin Restoran,Kebap
40.9861746,29.0258585,Orta Halli Restoran,Modern Pub & Bistro
40.9896068,29.0261952,Orta Halli Restoran,Modern Pub & Bistro
40.9890777,29.0281464,Orta Halli Restoran,Modern Pub & Bistro
40.9890142,29.0239872,Orta Halli Restoran,Modern Pub & Bistro
40.9925381,29.1208145,Orta Halli Restoran,Yeni Nesil Meyhane
40.9995155,29.0984458,Orta Halli Restoran,Kebap
40.9697908,29.036513,Zengin Restoran,Tekne-Event Hall-Catering
40.9636207,29.0758657,Orta Halli Restoran,Modern Pub & Bistro
40.986732,29.025505,Orta Halli Restoran,Modern Pub & Bistro
40.9866745,29.0267402,Orta Halli Restoran,Modern Pub & Bistro
40.96705816,29.06332254,Orta Halli Restoran,Pub & Bistro & Kokteyl Bar
40.9886315,29.0238861,Orta Halli Restoran,Gece Kulübü
40.990841,29.030612,Orta Halli Restoran,Modern Pub & Bistro
40.9657673,29.0671592,Orta Halli Restoran,Yeni Nesil Meyhane
40.98201735,29.02327683,Orta Halli Restoran,Pub & Bistro & Kokteyl Bar
40.9881832,29.0235853,Orta Halli Restoran,Modern Pub & Bistro
40.989375,29.0299756,Orta Halli Restoran,Modern Pub & Bistro
40.989333,29.022439,Orta Halli Restoran,Modern Pub & Bistro
40.9884768,29.028089,Orta Halli Restoran,Modern Pub & Bistro
40.988599,29.0276076,Orta Halli Restoran,Modern Pub & Bistro
40.9903291,29.0272102,Orta Halli Restoran,Modern Pub & Bistro
40.9806471,29.024203,Orta Halli Restoran,Geleneksel Meyhane
40.9900566,29.0271532,Orta Halli Restoran,Modern Pub & Bistro
40.9808048,29.0391152,Orta Halli Restoran,Askeri Birlik-Sosyal Tesis
40.9601056,29.0835982,Zengin Restoran,Balık
40.9949393,29.1103295,Zengin Restoran,Modern Pub & Bistro
40.9632418,29.075727,Orta Halli Restoran,Modern Pub & Bistro
41.0035588,29.0714606,Orta Halli Restoran,Kebap
40.9983628,29.1000744,Orta Halli Restoran,Modern Pub & Bistro
40.9900081,29.027922,Orta Halli Restoran,Modern Pub & Bistro
40.9855027,29.0264864,Orta Halli Restoran,Modern Pub & Bistro
40.9672874,29.0671425,Orta Halli Restoran,Gece Kulübü
40.99184216,29.10522133,Orta Halli Restoran,Yeni Nesil Meyhane
41.07411511,29.05839834,Zengin Restoran,Balık
40.9820398,29.0229852,Orta Halli Restoran,Kebap
41.019395,29.053726,Orta Halli Restoran,Askeri Birlik-Sosyal Tesis
40.987835,29.0278014,Orta Halli Restoran,Modern Pub & Bistro
40.9739846,29.0814663,Orta Halli Restoran,Modern Pub & Bistro
40.9657417,29.06714771,Zengin Restoran,Yeni Nesil Meyhane
41.0264173,29.1281315,Orta Halli Restoran,Modern Pub & Bistro
41.0086561,29.0203144,Orta Halli Restoran,Askeri Birlik-Sosyal Tesis
41.0007302,29.0400954,Orta Halli Restoran,Modern Pub & Bistro
40.9593895,29.072899,Zengin Restoran,Kebap
40.9677181,29.0320309,Orta Halli Restoran,Askeri Birlik-Sosyal Tesis
40.9877314,29.0258039,Orta Halli Restoran,Modern Pub & Bistro
40.9796676,29.0445773,Orta Halli Restoran,Yeni Nesil Meyhane
40.976193,29.152312,Orta Halli Restoran,Modern Pub & Bistro
40.9614375,29.0842573,Zengin Restoran,Pub & Bistro & Kokteyl Bar
41.00247925,29.07082938,Orta Halli Restoran,Modern Pub & Bistro
40.9926314,29.1220825,Orta Halli Restoran,Tekne-Event Hall-Catering
40.9641155,29.0708583,Zengin Restoran,Geleneksel Meyhane
40.992591,29.1208583,Orta Halli Restoran,Kebap
40.9980422,29.0984391,Orta Halli Restoran,Gece Kulübü
40.9529371,29.0959161,Zengin Restoran,Modern Pub & Bistro
40.9912565,29.1054932,Orta Halli Restoran,Yeni Nesil Meyhane
40.9759908,29.0963006,Orta Halli Restoran,Modern Pub & Bistro
40.9781034,29.0784225,Zengin Restoran,Geleneksel Meyhane
40.9939742,29.1280809,Zengin Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.9691735,29.1008672,Zengin Restoran,Kebap
40.990218,29.030819,Orta Halli Restoran,Modern Pub & Bistro
40.9714768,29.04441,Orta Halli Restoran,Askeri Birlik-Sosyal Tesis
40.9915052,29.1054394,Orta Halli Restoran,Gece Kulübü
40.9943212,29.1227428,Orta Halli Restoran,Yeni Nesil Meyhane
40.98622003,29.03313495,Orta Halli Restoran,Modern Pub & Bistro
